Name,Nationality,Current_Rank,Previous_Year_Rank,Sport,Year,Earnings,Team_Sport
Lance Armstrong,United States,9,>10,Cycling,2005,28,Yes
Valentino Rossi,Italy,9,>10,Motorcycle GP,2005,28,Yes
Tiger Woods,United States,1,1,Golf,2006,90,No
Michael Schumacher,Germany,2,2,F1 Racing,2006,58,Yes
Muhammad Ali,United States,3,>10,Boxing,2006,55,No
Phil Mickelson,United States,4,>10,Golf,2006,47,No
Michael Jordan,United States,5,6,Basketball,2006,32,Yes
Kobe Bryant,United States,6,8,Basketball,2006,31,Yes
Shaquille O'Neal,United States,7,5,Basketball,2006,30,Yes
Valentino Rossi,Italy,8,9,Motorcycle GP,2006,30,Yes
Alex Rodriguez,United States,9,>10,Baseball,2006,29,Yes
Tom Brady,United States,9,>10,American Football,2006,29,Yes
Tiger Woods,United States,1,1,Golf,2007,100,No
Oscar De La Hoya,United States,2,>10,Boxing,2007,43,No
Phil Mickelson,United States,3,4,Golf,2007,42,No
Kimi Raikkonen,Finland,4,>10,F1 Racing,2007,40,Yes
Michael Schumacher,Germany,5,2,F1 Racing,2007,36,Yes
David Beckham,United Kingdom,6,>10,Soccer,2007,33,Yes
Kobe Bryant,United States,6,>10,Basketball,2007,33,Yes
Shaquille O'Neal,United States,8,7,Basketball,2007,32,Yes
Ronaldinho,Brazil,9,>10,Soccer,2007,31,Yes
Michael Jordan,United States,9,5,Basketball,2007,31,Yes
Tiger Woods,United States,1,1,Golf,2008,115,No
David Beckham,United Kingdom,2,6,Soccer,2008,50,Yes
Michael Jordan,United States,3,9,Basketball,2008,45,Yes
Phil Mickelson,United States,3,3,Golf,2008,45,No
Kimi Raikkonen,Finland,5,4,F1 Racing,2008,44,Yes
Kobe Bryant,United States,6,7,Basketball,2008,39,Yes
LeBron James,United States,7,>10,Basketball,2008,38,Yes
Ronaldinho,Brazil,8,9,Soccer,2008,37,Yes
Valentino Rossi,Italy,9,>10,Motorcycle GP,2008,35,Yes
Roger Federer,Switzerland,9,>10,Tennis,2008,35,No
Tiger Woods,United States,1,1,Golf,2009,110,No
Kobe Bryant,United States,2,6,Basketball,2009,45,Yes
Michael Jordan,United States,2,3,Basketball,2009,45,Yes
Kimi Raikkonen,Finland,2,5,F1 Racing,2009,45,Yes
David Beckham,United Kingdom,5,2,Soccer,2009,42,Yes
LeBron James,United States,6,7,Basketball,2009,40,Yes
Phil Mickelson,United States,6,3,Golf,2009,40,No
Manny Pacquiao,Philippines,6,>10,Boxing,2009,40,No
